external/FP16,aosp,platform/external/FP16,8217ca7fcb18ecd3b12e952f6e41c5b9316fe411
external/FXdiv,aosp,platform/external/FXdiv,e3abe6d470f96474bcdb3df867f9d4cd451b9e71
external/ImageMagick,aosp,platform/external/ImageMagick,e617870700c34c12c4a53d8e91223bb4f99e5297
external/OpenCL-CTS,aosp,platform/external/OpenCL-CTS,77ce97e0c7514e809caa9e14fe1fd6e3fd15e03a
external/OpenCSD,aosp,platform/external/OpenCSD,a99a76cfe180577a3a4f5e0ecbc3025057d6f6bd
external/Reactive-Extensions/RxCpp,aosp,platform/external/Reactive-Extensions/RxCpp,de986f59e99bd585280a061f545150ee1268f012
external/TestParameterInjector,aosp,platform/external/TestParameterInjector,94c416dd8ce2bc8d0a1245be08a1fb2235b4b9b3
external/XNNPACK,aosp,platform/external/XNNPACK,34976aabc4dd1d337ef72eb97508317122a59971
external/aac,aosp,platform/external/aac,2c16a17358fb7c0d6365138e27a62913f9fa2c1a
external/abseil-cpp,aosp,platform/external/abseil-cpp,71a68520a63a5bae1b6bee6f0b79184ffa1aa99f
external/android-clat,aosp,platform/external/android-clat,3f1d250e545d30a05c94b34145a39ef0826efbba
external/android-nn-driver,github,LineageOS/android_external_android-nn-driver,239af543488d8f1df799d63ad0c021ea4f54c5ad
external/androidplot,aosp,platform/external/androidplot,e67b5c11b0a39d07706faa2f5faf820db3848005
external/angle,aosp,platform/external/angle,b4697d7c49c2bc27cf7e566bc3b3f8378f98bc01
external/ant-glob,aosp,platform/external/ant-glob,d46c321490bc8568b6528ded6199d7c72dfe938b
external/ant-wireless/ant_client,github,LineageOS/android_external_ant-wireless_ant_client,846dbb2d61e119b9fd8faa0dfafe5a4f33bbd785
external/ant-wireless/ant_native,github,LineageOS/android_external_ant-wireless_ant_native,6e176b725fbae9db85a4ef5d04598264c637d47e
external/ant-wireless/ant_service,github,LineageOS/android_external_ant-wireless_ant_service,fa22f5cec501b961afbfa0a15a64d52fa2d57e8c
external/ant-wireless/hidl,github,LineageOS/android_external_ant-wireless_hidl,ce589dc08e4215b063bfac73eb7b9b52cf46d944
external/antlr,aosp,platform/external/antlr,d6854b78cd0ed8288f8d81970eff353d2176be24
external/apache-commons-bcel,aosp,platform/external/apache-commons-bcel,76d2a11286542b37dcc583942b23abbd69efca2e
external/apache-commons-compress,aosp,platform/external/apache-commons-compress,67a9cb06d6901ac0324d14e70a941482a2c1d838
external/apache-commons-math,aosp,platform/external/apache-commons-math,2070d50c31d77a29746a080be684b7d977d5d3c4
external/apache-harmony,aosp,platform/external/apache-harmony,ed7345a216a14e9804309859b5580d28b6d0d1f2
external/apache-http,aosp,platform/external/apache-http,0bbd5408982f09c7e290a4aa528e1bb992ddca73
external/apache-xml,aosp,platform/external/apache-xml,7b50b3f18e06b9e9b78bd4487e7cdfbe1982391f
external/arm-neon-tests,aosp,platform/external/arm-neon-tests,3608772b3983544e289c28f24994b2bb6dbe7553
external/arm-optimized-routines,crdroid,crdroidandroid/android_external_arm-optimized-routines,b85db7486333853d7067cf336d6fc54bc02cc95f
external/arm-trusted-firmware,aosp,platform/external/arm-trusted-firmware,d2ebd507612c6d0e62ab68cc89a76b29d47a4394
external/armnn,github,LineageOS/android_external_armnn,99622dfb30039a7c13b772690605a59520eb3819
external/auto,aosp,platform/external/auto,2a3c3742f966c656eefa5f9c4fa4b88ee7ea4c0c
external/autotest,aosp,platform/external/autotest,025ef692cb20347c580951331369335b01ee44fb
external/avb,github,LineageOS/android_external_avb,f82d0b0162bee79b08bb93bb79e5b13e4a2f4e86
external/bash,github,LineageOS/android_external_bash,9f59ea3199a83697b4e1adcd4ac35484ac824c67
external/bazel-skylib,aosp,platform/external/bazel-skylib,e3e4f5325f3a9b46381531439b27dcfb294477fe
external/bazelbuild-rules_android,aosp,platform/external/bazelbuild-rules_android,7f7740c9ea674bf465c2afe0496065f7a6a0449e
external/bc,aosp,platform/external/bc,f2b0d658000e59ee81f263ea73b1c3870a1e8993
external/bcc,aosp,platform/external/bcc,9a1c8ffe05f96ae6a19946f96b4a0e781d8ae3ce
external/blktrace,aosp,platform/external/blktrace,d300bba0e4b3b84fef4cef81b1818cbc194a5b8c
external/boringssl,aosp,platform/external/boringssl,a692c5b3e96b9c085421103a0cc8936825538eda
external/bouncycastle,aosp,platform/external/bouncycastle,e4fb7fc2dd9537c33ba2d7a20bfd479bbefcab43
external/bpftool,aosp,platform/external/bpftool,63459af41c7eec3246d7bc13898c84f722687de5
external/brotli,aosp,platform/external/brotli,ba7ec1607b90d7a911422d9761ffa4fd14548b4f
external/bsdiff,aosp,platform/external/bsdiff,5bd632852c43ba5524b4ba46c6e7e03e77e1ea63
external/bzip2,aosp,platform/external/bzip2,af971b5524a392944a8fd1423b1860f3ab2919ec
external/caliper,aosp,platform/external/caliper,0974b1a712c1688964c707f968a123be344bae9c
external/capstone,aosp,platform/external/capstone,d0911058809dc914aebd64fd01b0b5f76fb171dd
external/catch2,aosp,platform/external/catch2,5f8628024c5a9219caa004d6a9547aacd9ba94c1
external/cblas,aosp,platform/external/cblas,4fdeda64177f60e1b226349885b3c0ea016f3068
external/cbor-java,aosp,platform/external/cbor-java,6b4b6adc5ff8f91e2ddef14adf510e14aaf90204
external/chromium-trace,aosp,platform/external/chromium-trace,9456b95a6d4b95c765c9f2264a71b0334f6cf8d7
external/chromium-webview/patches,github,LineageOS/android_external_chromium-webview_patches,aeb219d209abb1f236854333a9b4fbc11106a418
external/chromium-webview/prebuilt/arm,github,LineageOS/android_external_chromium-webview_prebuilt_arm,760bba9fe878d518d692c9ff3018499ad76f14a3
external/chromium-webview/prebuilt/arm64,github,LineageOS/android_external_chromium-webview_prebuilt_arm64,68d842ceb724eea3b793f948a1750371ba52e097
external/chromium-webview/prebuilt/x86,github,LineageOS/android_external_chromium-webview_prebuilt_x86,56fe2ee116ee833a5a038cd879c7fdc016d8931c
external/chromium-webview/prebuilt/x86_64,github,LineageOS/android_external_chromium-webview_prebuilt_x86_64,7beffaaddf89f43c863fb91a767e53e8f2c67395
external/clang,aosp,platform/external/clang,9641e2a2894e4fb9757c5453a2098fb53f8f7f90
external/cldr,github,LineageOS/android_external_cldr,7518f37169bd87d6977244e4d7471bc48fcd62e0
external/cn-cbor,aosp,platform/external/cn-cbor,7b581886d1830f50c3ab104a56b7ab931779466f
external/colorkt,crdroid,crdroidandroid/android_external_colorkt,58556aba43f404b67ae9075c34f2953f73e70313
external/compiler-rt,aosp,platform/external/compiler-rt,b429e93fbf939d13875665f7666c36dde342371d
external/connectedappssdk,aosp,platform/external/connectedappssdk,c08c376ed90fdb98c2ec1edd501396c5dd8d7f6a
external/conscrypt,aosp,platform/external/conscrypt,5cf1e38dc03528fe418c10787bfd81bf51a9fc90
external/cpu_features,aosp,platform/external/cpu_features,f2eb1669a696ccf740aac27ea40d02afcf88d6b5
external/cpuinfo,aosp,platform/external/cpuinfo,6187d8f4fab4f059064233ef2f9a6a430522066c
external/crcalc,aosp,platform/external/crcalc,a164e4c8ceb68d2ed98bfa4453ac24556007d537
external/cros/system_api,aosp,platform/external/cros/system_api,2a8a2d44c70472770d0b4349aae4c51087f89f8f
external/crosvm,aosp,platform/external/crosvm,0582fbdf884bd9cf5937462cc624bf75e74771bb
external/curl,aosp,platform/external/curl,a63ec7d2a65b0c8fbe4e57a9bebd17015c1e1b57
external/dagger2,aosp,platform/external/dagger2,ac3693e498fc5ec6fcea7723fb16ae4d8c820ffc
external/deqp,aosp,platform/external/deqp,fdb2813991941676bb88a2f5949b1c8d4a179852
external/deqp-deps/SPIRV-Headers,aosp,platform/external/deqp-deps/SPIRV-Headers,567fdaf4e08b0c6cd6887dc2f5753f27b25f6ad5
external/deqp-deps/SPIRV-Tools,aosp,platform/external/deqp-deps/SPIRV-Tools,58fa443749935aa5e97ae544c2e0574835814e0b
external/deqp-deps/amber,aosp,platform/external/deqp-deps/amber,3f8fbfe46bdb1dd1526687a84c644c1b2846a636
external/deqp-deps/glslang,aosp,platform/external/deqp-deps/glslang,87ebffc4ba5e483e5ca13d5f9cb2afbed9bad1e4
external/desugar,aosp,platform/external/desugar,9c653afd2ef483437628cdb14e3c99d9380d3dbb
external/dexmaker,aosp,platform/external/dexmaker,ecb8636406ec1c4c89e721e38d570e8c19bba866
external/dlmalloc,aosp,platform/external/dlmalloc,ec96486d81952c9c07dde5ea477ef33e37c521e5
external/dng_sdk,aosp,platform/external/dng_sdk,71c2791f9b8e90c57f2babffec7734b3829a6b06
external/dnsmasq,aosp,platform/external/dnsmasq,6c237fe72b5235ca5f46ee68f3ff78de84b28cbf
external/doclava,aosp,platform/external/doclava,bbcaaacdadb8ea3c50466287db02466023ce9bea
external/dokka,aosp,platform/external/dokka,1561cf03a908b651be77ab3adc54d8672bb7d852
external/downloader,aosp,platform/external/downloader,0fb697dbe348298eb9ab16b58a33a29653a686be
external/drm_hwcomposer,aosp,platform/external/drm_hwcomposer,0ce361010578834528e6e987c2f75d942884e370
external/dtc,aosp,platform/external/dtc,9ded70a73a08c09f64d8d1c7c852d179d6c194bf
external/dwarves,aosp,platform/external/dwarves,3c8f7e8b2cf7ff902b71c42d00fda30f30114b07
external/dynamic_depth,aosp,platform/external/dynamic_depth,ac799d16e73b13d95197650bf1edd1921f85eade
external/e2fsprogs,github,LineageOS/android_external_e2fsprogs,9b8f6573cb42e0c87e7f22427b71cc883fa33428
external/easymock,aosp,platform/external/easymock,06a9728c3609f856e87db38a6602196cec3ab727
external/eigen,aosp,platform/external/eigen,bc0f5df265caa21a2120c22453655a7fcc941991
external/elfutils,aosp,platform/external/elfutils,ddc00d49eaf399d5be03b5f5897a1aced71b03c8
external/emma,aosp,platform/external/emma,f8ac30e2dbdcaa8ad5432d7ffa6fbaa4216f71c1
external/erofs-utils,aosp,platform/external/erofs-utils,b26dbef946efb872f0a2b904ec59a83745c9df19
external/error_prone,aosp,platform/external/error_prone,18533e3567bf954b1a9d4e659057859aeb004b50
external/escapevelocity,aosp,platform/external/escapevelocity,953cb3b75b83ec815d2e82a9fa4018b2246741ea
external/ethtool,aosp,platform/external/ethtool,98e4d6947b54ad6ed9ec8484e65fd53eeb5878b8
external/exfatprogs,github,LineageOS/android_external_exfatprogs,2f4a66f1eeb6284d5a5ae31d81b80d6177406a4a
external/exoplayer,aosp,platform/external/exoplayer,918792b27161068fe14d299812b79ee4c1ee4f25
external/expat,aosp,platform/external/expat,2f219f0835e7b03362d2e0d199b548b385d3e2dd
external/f2fs-tools,aosp,platform/external/f2fs-tools,d729003e3a32c8175a3445668ff141639a14b10f
external/faceunlock,crdroid-gitlab,crdroidandroid/android_external_faceunlock,f8cee4189c06c88efa3b910c9548e2ec2fd9f100
external/fastrpc,crdroid,crdroidandroid/android_external_fastrpc,418b791d679beb2078b579a3b6936cf330c41799
external/fdlibm,aosp,platform/external/fdlibm,3712afa2cd33760df9b7bb1c2ccc2bef66cfd4cd
external/fec,aosp,platform/external/fec,bd748f639f8156d3c439c46178ee2e1176b226cf
external/fft2d,aosp,platform/external/fft2d,519b19e8f0491df1703623767e1a75d2806eaa82
external/firebase-messaging,aosp,platform/external/firebase-messaging,03b91ecdc1db1e077bec73ea3a958469a9ffc60a
external/flac,aosp,platform/external/flac,88a095dfd3ac0755f32a1d3fcea046ff96f4d2a8
external/flatbuffers,aosp,platform/external/flatbuffers,97fbd0a3946f23cf9445f6776314bcc919ef4906
external/fmtlib,aosp,platform/external/fmtlib,1424396741302fb4722bdd63e19d84ab2475056d
external/fonttools,aosp,platform/external/fonttools,29956f91d34a6e7e114e9e04c4c22296e20b80c8
external/freetype,aosp,platform/external/freetype,61824f13c77b440b41a2c278a39712badf968a7b
external/fsck_msdos,aosp,platform/external/fsck_msdos,9558e6ac2e10ab0fef46fdd14187b840555f86f4
external/fsverity-utils,aosp,platform/external/fsverity-utils,006c762eefe32fa0f67907ca61115ef5a8e543b6
external/gemmlowp,aosp,platform/external/gemmlowp,b28279ad6d3c1b739fe284223523bc240cd60f39
external/geojson-jackson,aosp,platform/external/geojson-jackson,0a3f43d92ad5792c5b4b498ed882d515197e6f75
external/geonames,aosp,platform/external/geonames,4b3b986512b965dcd954efc8d5d0aed074fc80fc
external/gflags,aosp,platform/external/gflags,061f68cd158fa658ec0b9b2b989ed55764870047
external/gfxstream-protocols,aosp,platform/external/gfxstream-protocols,9f11c249d85906ecf79338c6b72bf1c3b8514ae7
external/giflib,aosp,platform/external/giflib,5b435a6c1e743c66416a517386bbe6411d936e03
external/glide,aosp,platform/external/glide,6f8b1fbb07f87d1eba22e6b7be30f0e297dbbbe7
external/go-cmp,aosp,platform/external/go-cmp,963280ff1cb2d5259a0679cbc467fabb69b4f13a
external/golang-protobuf,aosp,platform/external/golang-protobuf,778fd2fe348de8c0dad75597fcaa7aced089ed2d
external/google-benchmark,aosp,platform/external/google-benchmark,db4553b1a39ef8ef84a097dfa2e795c0a4df60d8
external/google-breakpad,aosp,platform/external/google-breakpad,b7ba111e8c54beb68b59a59f424ffe42781ee293
external/google-fonts/arbutus-slab,aosp,platform/external/google-fonts/arbutus-slab,fd6958f6e062f49d96db9ba78b531105f9804f4f
external/google-fonts/arvo,aosp,platform/external/google-fonts/arvo,8220c0c8644b609d6ac5c2a39c824eaf597f07a9
external/google-fonts/barlow,aosp,platform/external/google-fonts/barlow,004a511870ab714b02d2e54e6d5f413e5503ba10
external/google-fonts/big-shoulders-text,aosp,platform/external/google-fonts/big-shoulders-text,5e881e067d392e057c26fb17c3d22021f53040cc
external/google-fonts/carrois-gothic-sc,aosp,platform/external/google-fonts/carrois-gothic-sc,724c81d904ebef40c64851e06076dcb0d68c9725
external/google-fonts/coming-soon,aosp,platform/external/google-fonts/coming-soon,8e0c0cc3609e94f914cf0fd28b124f414331b1c4
external/google-fonts/cutive-mono,aosp,platform/external/google-fonts/cutive-mono,a90cb740f5382947da6dd1df5d0b15d9aa18dda5
external/google-fonts/dancing-script,aosp,platform/external/google-fonts/dancing-script,9eadf990f56ea7ccd29d89e1cf98508ff869bc4a
external/google-fonts/fraunces,aosp,platform/external/google-fonts/fraunces,84770b58540aca521818a0972429fd84b578efb2
external/google-fonts/karla,aosp,platform/external/google-fonts/karla,08c4c2c6e9b095993bf6fea9b791adc49468cf7c
external/google-fonts/lato,aosp,platform/external/google-fonts/lato,64b9c93a940f767cf16cae97a1b3031af8d86db7
external/google-fonts/lustria,aosp,platform/external/google-fonts/lustria,0612a141ed29e4eb5d7d2a4e931adcb369cc0347
external/google-fonts/rubik,aosp,platform/external/google-fonts/rubik,5a9349dcf52b2aecec072022c4b0a51646099433
external/google-fonts/source-sans-pro,aosp,platform/external/google-fonts/source-sans-pro,d03f21b7126351f24229c2d840ed9543090e3d28
external/google-fonts/zilla-slab,aosp,platform/external/google-fonts/zilla-slab,f34f01823afa6a6840426c19e5790494f94fe056
external/google-fruit,aosp,platform/external/google-fruit,87849e475eaac23d7b85bddabbaf1293f80333f9
external/google-java-format,aosp,platform/external/google-java-format,624c6d728925b2ffd89fda02cef88b4752788b10
external/google-styleguide,aosp,platform/external/google-styleguide,b72dc1cc671e70b5cba6a5e72283a7705b90dee4
external/googletest,aosp,platform/external/googletest,1840bde20bfc67e7d00646ff1ac3906fd3838aa4
external/gptfdisk,github,LineageOS/android_external_gptfdisk,2912864fc6acdbc806566c02645eb49f71a0baea
external/grpc-grpc,aosp,platform/external/grpc-grpc,1ad861b9aa8ae733a63a40f80626dbd9a75dd590
external/grpc-grpc-java,aosp,platform/external/grpc-grpc-java,4ec6d957295a38eb660be5b2a516628c60ae1595
external/guava,aosp,platform/external/guava,74de8e915a2763cbf6a4ef36cb0d40fa0c1f5600
external/guice,aosp,platform/external/guice,3e78e30b61c9f2c0338e41ac15c1ac69d370d197
external/gwp_asan,aosp,platform/external/gwp_asan,8d9aa99c490ec0c6b60f9c7a28b04ed6d23e392c
external/hamcrest,aosp,platform/external/hamcrest,f4787df52bc932ceb8421856868da793afa4bd51
external/harfbuzz_ng,aosp,platform/external/harfbuzz_ng,96a0723ab55cbd241d364e3e333d212f40b3164c
external/htop,github,LineageOS/android_external_htop,6e15b36adc280daf996abc87d7684aed22732688
external/hyphenation-patterns,aosp,platform/external/hyphenation-patterns,756bcc4ca799288f180c70de82546175a3f395ea
external/icing,aosp,platform/external/icing,1a80847b72a44761a7e2782871a3bc18f6b3f76b
external/icu,github,LineageOS/android_external_icu,a235bfd3641d94c657e92e8f33a33b5bbe472fb0
external/igt-gpu-tools,aosp,platform/external/igt-gpu-tools,30340ff8c14800c01991d854474db460d73a1a45
external/image_io,aosp,platform/external/image_io,9212bfaf3a559ad72829f5ade0b15083af10d275
external/ims,aosp,platform/external/ims,55277e8839b9c0841238c1ec108fad5da93cfa05
external/iperf3,aosp,platform/external/iperf3,1cf15880b703c645eb9c38a3bda22d4530151698
external/iproute2,aosp,platform/external/iproute2,0144e3b1f06e4ab8625f478cdf93e1b61aafcc1e
external/ipsec-tools,aosp,platform/external/ipsec-tools,ff4889a0a6a7c6423aeeb0edead28f4cfaf00739
external/iptables,aosp,platform/external/iptables,d5cc7e9c6a5e7781d16a1b8eb0d7c63cd8839d00
external/iputils,aosp,platform/external/iputils,e2e0c1ea7a08862419b28b4cfc7be87662dfa0df
external/iw,aosp,platform/external/iw,4c9ab49f62fdc595c035857f08ad1dd1d296cc40
external/jackson-annotations,aosp,platform/external/jackson-annotations,540b98084b1845c7cf004c7de278092247ef9a1f
